sample_id	taxon_name	host_family	host_genus	substrate_type	site_id	voucher	accession	reference	substrate_notes		
P2123	Peltigera_canina_1	peltigeraceae	peltigera	terricolous	NA	"France, Corsica, Vust 6412, G"		This study; Magain et al. 2018			France
P2152	Peltigera_soredians	peltigeraceae	peltigera	terricolous	NA	"Ecuador, Kalb 39785, DUKE"		This study; Magain et al. 2018			Ecuador
P2162	Peltigera_erioderma_1	peltigeraceae	peltigera	terricolous	NA	"Papua New Guinea, Sérusiaux s.n., LG"		This study; Magain et al. 2018			Papua New Guinea
P2164	Peltigera_globulata	peltigeraceae	peltigera	terricolous	NA	"Peru, Miadlikowska s.n., DUKE 0357990"		This study; Magain et al. 2018			Peru
P2170	Peltigera_degenii	peltigeraceae	peltigera	terricolous	NA	"Ukraine, Dymytrova & Savchyn 22, KW"		This study; Magain et al. 2018			Ukraine
P2180	Peltigera_ponojensis_monticola_1a	peltigeraceae	peltigera	terricolous	NA	"United States of America, McCune 29956, OSC"		This study; Magain et al. 2018			United States of America
P2213	Peltigera_canina_1	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, Goward 5305, UBC"		This study; Magain et al. 2018			Canada
P2224	Peltigera_neocanina_3	peltigeraceae	peltigera	terricolous	NA	"China, Yunnan, Goffinet 9979, CONN"		This study; Magain et al. 2018			China
P3034	Peltigera_occidentalis	peltigeraceae	peltigera	terricolous	NA	"Russia, Khabarovsk Territory, Lutzoni and Miadlikowska 07.26.2013-P3034, DUKE"		This study; Chagnon et al. 2018			Russia
P3068	Peltigera_clathrata	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, Goward 09-232, UBC"		This study; Chagnon et al. 2018			Canada
P330	Peltigera_truculenta	peltigeraceae	peltigera	terricolous	NA	"Chile, Wheeler 3826, T. Wheeler Private Coll."		This study; Magain et al. 2017			Chile
P5023	Peltigera_scabrosa	peltigeraceae	peltigera	terricolous	NA	"Canada, Québec, 57.91304°N, 72.07611°W, Miadlikowska and Lutzoni, DUKE"		This study; Lu et al. 2018			Canada
