DNA extraction no.*,Species name and clade no.**,Voucher,Mycobiont multilocus sequence type,Chemotype,ITS,_ -tubulin,COR1b,COR3,No. of genes,Nostoc haplotype****,Nostoc phylogroup,rbcLX
P5053,P. aphthosa 5,"Canada, Québec J. Miadlikowska et al. SN8E1, DUKE",H6,N/A,MG811732L,missing,missing,missing,1,H4,IV,MG818411L
,,,,,,,,,,,,
P706,P. aphthosa 5,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H6,aph III,MK680306,MK688805,MK688614,missing,3,N/A,N/A,missing
P708,P. aphthosa 5,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H7,aph III,MK680307,missing,MK688615,missing,2,N/A,N/A,missing
P709,P. aphthosa 5,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H6,N/A,MK680308,missing,MK688616,missing,2,N/A,N/A,missing
P717,P. aphthosa 5,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H9,N/A,MK680310,MK688806,MK688618,missing,3,N/A,N/A,missing
P719,P. aphthosa 5,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H11,aph III,MK680312,MK688808,MK688620,missing,3,N/A,N/A,missing
P725,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al., W6C1, DUKE",H49,aph I,MK680366,missing,MK688658,missing,2,N/A,N/A,missing
P726,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al., W50C3, DUKE",H6,aph I,MK680367,missing,MK688659,missing,2,N/A,N/A,missing
P734,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al, SN9C1, DUKE (P5046 in Lu et al. 2018)",H121,aph III,MG811737L,MK688860,MK688660,missing,3,N/A,N/A,missing
P736,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al., SN9C3, DUKE",H27,N/A,MK680369,MK688861,MK688661,missing,3,N/A,N/A,missing
P739,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al., W6C2, Duke",H11,aph III,MK680370,MK688862,MK688662,missing,3,N/A,N/A,missing
P740,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al., W6C2, DUKE",H11,N/A,MK680371,MK688863,MK688663,missing,3,N/A,N/A,missing
P757,P. aphthosa 5,"Canada, Manitoba, T. Ahti 63130c, H",H11,aph III,MK680330,MK688825,MK688630,missing,3,N/A,N/A,missing
P758,P. aphthosa 5,"Canada, Manitoba, T. Ahti 63144d, H",H11,N/A,MK680331,MK688826,MK688631,missing,3,N/A,N/A,missing
P759,P. aphthosa 5,"Canada, Manitoba, T. Ahti 63121d, H",H24,aph III,MK680332,MK688827,MK688632,missing,3,N/A,N/A,missing
P763,P. aphthosa 5,"U.S., Alaska, T. Ahti 63221, H",H11,aph III,MK680314,MK688810,missing,missing,2,N/A,N/A,missing
P774,P. aphthosa 5,"Russia, Krasnoyarsk Territory, V. Pervunin s.n., 07. 2000, H",H33,aph II,MK680372,MK688864,missing,missing,2,N/A,N/A,missing
P782,P. aphthosa 5,"Iceland, H. Kristinsson 11595, AMNH",H7,aph I,MK680326,MK688822,missing,missing,2,N/A,N/A,missing
P787,P. aphthosa 5,"Norway, N. Magain s.n., 2011, LG",H34,aph I,MK680345,MK688841,missing,missing,2,N/A,N/A,missing
P791,P. aphthosa 5,"Norway, N. Magain s.n., 2011, LG",H37,N/A,MK680348,MK688844,MK688644,missing,3,N/A,N/A,missing
P796,P. aphthosa 5,"Norway, N. Magain s.n., 2011, LG ",H33,N/A,MK680349,MK688845,MK688645,missing,3,N/A,N/A,missing
P200,P. britannica 1,"Canada, Alberta, C. Björk 18659, UBC",H62,bri I,MK680379,MK688871,missing,missing,2,H10,VI,MK720760
P227,P. britannica 1,"Canada, British Columbia, T. Goward 09-436, UBC",H63,?,MK680380,MK688872,missing,MK688757,3,H9,IV,MK720763
P232,P. britannica 1,"Canada, British Columbia, J. Hollinger 1514, UBC",H63,N/A,MK680382,MK688875,missing,missing,2,N/A,N/A,missing
HOB020708-39-1-7,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H55,N/A,FJ708848,FJ709279,missing,missing,2,N/A,N/A,missing
HOB020708-62-1-9,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H55,N/A,FJ708849,missing,missing,missing,1,N/A,N/A,missing
HOB020708-66-5-7,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H56,N/A,FJ708850,FJ709280,missing,missing,2,N/A,N/A,missing
HOB020708-66-5-8,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H56,N/A,FJ708851,FJ709281,missing,missing,2,N/A,N/A,missing
HOB030611-0-10-1,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H57,N/A,KC437630,missing,missing,missing,1,HT3,VI,KC437865
HOB030611-0-10-2,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H57,N/A,FJ708846,FJ709277,missing,missing,2,N/A,N/A,missing
HOB030611-0-5-1,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H55,N/A,KC437617,missing,missing,missing,1,HT2,VI,KC437866
HOB030611-0-5-2,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H55,N/A,KC437618,missing,missing,missing,1,N/A,N/A,missing
HOB040605-02-3,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H57,N/A,KC437631,missing,missing,missing,1,N/A,N/A,missing
HOB040605-04-33,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H58,N/A,KC437633,missing,missing,missing,1,HT19,IV,KC437884
HOB040605-06-3,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H59,N/A,KC437634,missing,missing,missing,1,HT19,IV,KC437892
HOB040605-07-2,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H57,N/A,KC437632,missing,missing,missing,1,HT19,IV,KC437894
HOB040605-4-3,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H58,N/A,FJ708855,FJ709288,missing,missing,2,N/A,N/A,missing
HOB040605-6-3,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H59,N/A,FJ708856,FJ709285,missing,missing,2,N/A,N/A,missing
HOB040605-7-2,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H57,N/A,FJ708847,FJ709278,missing,missing,2,N/A,N/A,missing
