sample_id	taxon_name	host_family	host_genus	substrate	country	voucher
P943	Peltigera_extenuata_2	peltigeraceae	peltigera			
P9639	Fuscopannaria_sp	pannariaceae	fuscopannaria			
P9728	Peltigera_malacea_2	peltigeraceae	peltigera		canada	
P9820	Peltigera_canina_2	peltigeraceae	peltigera		canada	
P9822	Peltigera_malacea_2	peltigeraceae	peltigera		canada	
P9895	Nephroma_resupinatum	nephromataceae	nephroma			
S1	Pannariaceae	pannariaceae	pannariaceae			
S10	Fuscopannaria	pannariaceae	fuscopannaria			
S11	Fuscopannaria	pannariaceae	fuscopannaria			
S12	Kroswia	pannariaceae	kroswia			
S13	Kroswia	pannariaceae	kroswia			
S14	Peltigera_pacifica	peltigeraceae	peltigera			
S15	Peltigera_pacifica	peltigeraceae	peltigera			
S16	Peltigera_pacifica	peltigeraceae	peltigera			
S17	Peltigera_vitikainenii	peltigeraceae	peltigera			
S18	Peltigera_vitikainenii	peltigeraceae	peltigera			
S19	Peltigera_vitikainenii	peltigeraceae	peltigera			
S2	Pannariaceae	pannariaceae	pannariaceae			
S20	Peltigera_vitikainenii	peltigeraceae	peltigera			
S21	Peltigera_vitikainenii	peltigeraceae	peltigera			
S22	Peltigera_vitikainenii	peltigeraceae	peltigera			
S23	Peltigera_vitikainenii	peltigeraceae	peltigera			
S24	Peltigera_vitikainenii	peltigeraceae	peltigera			
S25	Peltigera_vitikainenii	peltigeraceae	peltigera			
S26	Peltigera_vitikainenii	peltigeraceae	peltigera			
S27	Peltigera_vitikainenii	peltigeraceae	peltigera			
S29	Peltigera_vitikainenii	peltigeraceae	peltigera			
S3	Pannariaceae	pannariaceae	pannariaceae			
S30	Peltigera_vitikainenii	peltigeraceae	peltigera			
S31	Peltigera_vitikainenii	peltigeraceae	peltigera			
S32	Peltigera_vitikainenii	peltigeraceae	peltigera			
S33	Peltigera_vitikainenii	peltigeraceae	peltigera			
S34	Peltigera_vitikainenii	peltigeraceae	peltigera			
S35	Peltigera_vitikainenii	peltigeraceae	peltigera			
S37	Peltigera_vitikainenii	peltigeraceae	peltigera			
S38	Peltigera_vitikainenii	peltigeraceae	peltigera			
S39	Peltigera_appalachensis	peltigeraceae	peltigera			
S40	Peltigera_appalachensis	peltigeraceae	peltigera			
S41	Peltigera_appalachensis	peltigeraceae	peltigera			
S42	S42	peltigeraceae	peltigera			
S43	Peltigera_appalachensis	peltigeraceae	peltigera			
S44	Peltigera_appalachensis	peltigeraceae	peltigera			
S45	Peltigera_appalachensis	peltigeraceae	peltigera			
S46	Peltigera_appalachensis	peltigeraceae	peltigera			
S47	Peltigera_appalachensis	peltigeraceae	peltigera			
S48	Peltigera_appalachensis	peltigeraceae	peltigera			
S49	Peltigera_appalachensis	peltigeraceae	peltigera			
S4	Lepidocollema_sp	pannariaceae	lepidocollema			
S5	Physma_sp	pannariaceae	physma			
S51	Peltigera_appalachensis	peltigeraceae	peltigera			
S52	Peltigera_appalachensis	peltigeraceae	peltigera			
S53	Peltigera_appalachensis	peltigeraceae	peltigera			
S54	Peltigera_appalachensis	peltigeraceae	peltigera			
S55	Peltigera_appalachensis	peltigeraceae	peltigera			
S56	Peltigera_appalachensis	peltigeraceae	peltigera			
S57	Peltigera_appalachensis	peltigeraceae	peltigera			
S58	Peltigera_appalachensis	peltigeraceae	peltigera			
S6	Lepidocollema_sp	pannariaceae	lepidocollema			
S60	Peltigera_appalachensis	peltigeraceae	peltigera			
S61	Peltigera_asiatica	peltigeraceae	peltigera			
S62	Peltigera_asiatica	peltigeraceae	peltigera			
S63	Peltigera_asiatica	peltigeraceae	peltigera			
S64	Peltigera_mikado	peltigeraceae	peltigera			
S66	Peltigera_mikado	peltigeraceae	peltigera			
S67	Peltigera_gayae	peltigeraceae	peltigera			
S68	Peltigera_gayae	peltigeraceae	peltigera			
S8	Physma_sp	pannariaceae	physma			
S82	Peltigera_pulverulenta_3	peltigeraceae	peltigera			
S83	Peltigera_pulverulenta_3	peltigeraceae	peltigera			
S85	Peltigera_dolichorhiza	peltigeraceae	peltigera			
S86	Peltigera_pulverulenta	peltigeraceae	peltigera			
S88	Peltigera_pulverulenta_2	peltigeraceae	peltigera			
S9	Physma_sp	pannariaceae	physma			
S90	Peltigera_sp_6	peltigeraceae	peltigera			
S91	Peltigera_appalachensis	peltigeraceae	peltigera			
S92	Peltigera_sp_1	peltigeraceae	peltigera			
S93	Peltigera_appalachensis	peltigeraceae	peltigera			
S94	Peltigera_dolichorhiza_2	peltigeraceae	peltigera			
S95	Peltigera_sp_2b	peltigeraceae	peltigera			
X2	Peltigera_aff_neorufescens	peltigeraceae	peltigera			
